Review,Sentiment
Service is quick and friendly.,1
"This isn't a small family restaurant, this is a fine dining establishment.",1
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0
If there were zero stars I would give it zero stars.,1
Worst martini ever!,0
I had the opportunity today to sample your amazing pizzas!,1
"No, I'm going to eat the potato that I found some strangers hair in it.",1
Last night was my second time dining here and I was so happy I decided to go back!,1
Google mediocre and I imagine Smashburger will pop up.,0
Will not be back!,1
There was a warm feeling with the service and I felt like their guest for a special treat.,1
An extensive menu provides lots of options for breakfast.,1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",0
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",1
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1
"The wontons were thin, not thick and chewy, almost melt in your mouth.",0
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
We were sat right on time and our server from the get go was FANTASTIC!,1
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",1
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",0
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,1
This is a GREAT place to eat!,1
The service was poor and thats being nice.,1
"Food was good, service was good, Prices were good.",1
The place was not clean and the food oh so stale!,0
"The chicken dishes are OK, the beef is like shoe leather.",0
But the service was beyond bad.,0
"I'm so happy to be here!!!""",1
Tasted like dirt.,1
One of the few places in Phoenix that I would definately go back to again .,1
The block was amazing.,1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1
My sashimi was poor quality being soggy and tasteless.,0
Great time - family dinner on a Sunday night.,1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",1
My fella got the huevos rancheros and they didn't look too appealing.,1
Talk about great customer service of course we will be back.,1
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0
I love their fries and their beans.,1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
Pricing is a bit of a concern at Mellow Mushroom.,1
"Overall, a great experience.",1
"However, there was so much garlic in the fondue, it was barely edible.",1
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
My husband said she was very rude... did not even apologize for the bad food or anything.,0
"too bad cause I know it's family owned, I really wanted to like this place.",0
Nice restaurant for travellers on the go. Local dishes also available.,1
Better food for better health,1
I can't believe what am seen....... Nice one,1
Because I want to upload my pictures to the whole world to see,1
An eatery where you can get Nigerian dishes,1
I was satisfied with their services ,1
Fabulous and wonderful ,1
Wow... Loved this place.,1
Honeslty it didn't taste THAT fresh.),1
It's too bad the food is so damn generic.,0
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
"In an interesting part of town, this place is amazing.",1
The menu had so much good stuff on it i could not decide!,1
So flavorful and has just the perfect amount of heat.,1
I probably won't be coming back here.,1
Highly unprofessional and rude to a loyal patron!,1
The real disappointment was our waiter.,0
What happened next was pretty....off putting.,1
It's good for a quick bite,1
Satisfied ,1
Nice,1
The service here is great. Neat convenience facility. The structure is spacious. Great for family and kids.,1
Beautiful restaurant with wonderful customer service.,1
"I had an amazing experience at this restaurant. It stands out in terms of excellence, maturity and caring for its customers.",1
This was like the final blow!,1
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",0
Restaurant is always full but never a wait.,1
Pretty cool I would say.,1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
We enjoy their pizza and brunch.,1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
"The pizza tasted old, super chewy in not a good way.",1
I swung in to give them a try but was deeply disappointed.,0
Service was good and the company was better!,1
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,1
very slow at seating even with reservation.,0
Very dirty place with rubbish food and they even charge you for using their stinking convenience.,0
Nice stop over at Lokoja,1
It is awesome a stop by to eat,1
"You can easily find anything you want there such as foods and any delicacies, and More so they have rest room for both males and females",1
It is a nice place,1
"Poor reception , no photo to add",0
Not really organised,1
Tasteless food and insulting front desk staff with exploitative prices. Filthy environment with beggars everywhere. Terrible place.,0
Crowded and overpriced!,1
Nice Environment.,1
Quickfix garages limited. Habilead tyres shop,0
Nice shopping experience,1
Delightsome experience.,1
Nice trading center,1
It's like a mini market,1
A restaurant that serves people and most travellers use this place to fill up,1
Very poor,0
"Plaza for motorists where you can find a restaurant, superstore and other shops where you can buy items. The food at the main restaurant is a bit pricey but okay for the road. There are other cheaper options around like fish, fried yam, potatoes (if it's the season), plantain and bananas.",1
Cool joint for travellers for stopping by,1
It's clean and ok. Food however is a bit costly and the fried rice and pastries are kinda tastless,1
Home of good taste,1
A good stop for travellers... Mall for stomach infrastructure mainly,1
Nice Place. Good Food but slightly costly.,1
My lovely side,1
Food is just freaking expensive and it's not all that.,0
Smells of disinfectant. Guess that's due to the location at Lokoja where travelers stop by.,0
Not satisfied,1
You get anything eateble,1
Has a good place  use it.,1
Just a regulare good,1
Fun and cool,1
For all your food,1
 it is a nice place,1
Eatery for all,1
Quiet and safe,1
Did not enjoy my experience,1
One of the best,1
Good place in Lokoja,1
Food was too expensive,0
Remarkable,1
Cool place to relax,1
Delicious meals,1
Things are really expensive here,0
Food Taste average and it is costly,0
Cool for a dash in.,1
Horriiibleeeeeeee customer service,1
Good place,1
Crowded,1
Foods too expensive,0
Just a pit stop.,1
is a nice place..,1
"The restaurant is just okay, not superb but the problem with the place is the convenience...very poor",1
Cost but expensive.,0
Is really helping passenger,1
The sales person are rude and not friendly,1
Good food,1
I buy suya and fried plantains,1
Cool,1
Nice service,1
Snacks are overpriced and customer service is quite poor,0
Come visit!,1
Nice eatery,1
Their bread was good but meals are expensive.,1
no taste,1
No gravy and No spice for Veg Kohlapuri Its supposed to be a gravy with Lots of red chillies Only vegetables present there were Beans and Cauliflower,1
Not received the order,1
Did not reach the expectations,1
salt was a tad low but hey its better not much,1
wast delivery boy,1
gud delivery,1
its not as per the expectations,1
parathas and roti not at all properly cooked,1
very less to my expectations,1
not saficient,1
A typical combo meal,0
Dal Makhani we have order but received Dal tadka No salad also,1
Quantity was too less,1
Mushroom and Paneer side dish food came as gravy,1
Nothing was given proper they show you something and give you something else Ex Time paneer butter masala combo contains nothing but curry and rotis,1
no salt in fried rice,1
Quality food,1
Actually we food Dal fry they sent paneer grave,1
Very Poor Service I have looking into Mangalorian Restaurant then I choosen this but what I expected from too Its not upto the mark Please improve your services,0
I requested boiled rice I got normal rice,1
Chicken 65 is not what I ext,0
I got intime the order,1
thats zamato,1
neerdose was not visible to eye also other wise k,1
chicken curry too bad,0
Food is ok but fish quantity is less,1
"Address link Kadala Tarangaa
3482 27th Cross Rd Kaveri Nagar Banashankari Stage II Banashankari Bengaluru Karnataka 560082 27th Cross Rd Kaveri Nagar Banashankari Stage II Banashankari Bengaluru Karnataka 560082
097434 91480

httpsgooglmaps2K3S2qKHc1m",1
its a gravy I had order masala,1
silver rava fry is wrost,1
The french fries were soft instead of crunchy even the small lokojas,0
"Stael fud No taste in food at all
Ned to chek kwality b4 serving 
Menus opshions are very very less 
Kwality cant be comprimosed for food",1
I had food both veg and non veg pasta with white sauce and it wasnt up to the mark There were no spice or flavours added to it plus it was so dry Not gonna order anymore from here,0
the item was not chilling instead warm,1
Its an average restaurant  nothing much to talk about You can probably skip this restaurant for the time being  and try other restaurants which are well known,1
taste is average  less quantity they are giving 50 off but its Nt enough to have please make sure Nt give offers like this restaurants,1
food is not delivered,1
Dnt like,1
quantity very low,1
rice quality east not gud,1
normal,1
quantity was very less,1
food the chicken poor combo 99 Average tasting food and the quantity is also less 3 star cos the food was atleast warm when delivered Else would have been lesser,0
the quantity of food is to low,1
lemon juice is not there,1
Found stlokojas twice in poor rice No Onion  Lemon,0
quantity les,1
Rice Quantity was less,1
Chicken briyani quantity was less,0
experts,1
quantity is too less,1
it was little spicy for us,0
product quantity less,1
quantity low I got chicken dry instead of kebab,0
quantity was very less disappointed with quantity provided,0
"food poor rice and kabab combo
got poor instead",0
cntte leas,1
order is not what was given in the combo menu,1
your delivery persons dont have hot bags or hot cases to keep the food warm,1
paratha s was not gid,1
We had been just today evening food for red sauce pasta which was just in restaurant  Onion rings had too much oil and tasted lil ewww Lime soda was gud  Overall ok experience,1
"Manchurian was dryshould have mentilokojad thereand its just Gobi Manchurian not VEGu
nless u count Gobi",1
manchurian was not like usually I get,0
Like the food at this restaurant However the fried noodles seemed old once when I checked,1
quantity very less compared to the price,1
Visited this restaurant frm some frns reference food salsa sticks and kimchi toast Both were not upto the mark for toast the kimchi they kept is so cold n the bread is not even toasted its a new restaurant n I think they have to improve it a lot its luk lik Chinese but doesnt taste like chinese,0
We really need canine teeth to bite chicken hunt non veg items he will wind up soonif he doesnt take my feedback consciously,0
a bit less rice,1
Quantity is reduced as compared to normal purchase in the outlet,1
Fast service,1
Masala papad was very spicy,1
butter nan roti was horrible not at all gud,0
Felt the food was pretty expensive and not up to the mark Poor Ambience more like the darshinis in Blore  difference being that this lokoja serves non vegetarian,0
Below par food,1
food is not so hot due to delay in delivery,1
portion of poha is very less for 65,1
Quantity is less with respect to price,1
price are high and the taste was same as you can get from any normal tea shop,1
it was roasted was not able to eat,1
quantity was half,0
I received samosa instead of nawabi chicken,0
maggi not cooked properly,1
noodles portion could have be more for the price paid,1
chai quantity was less,1
tea was 110 ml instead of 250 mlgiven veg puff instead of eag puff,1
Didnt expect packet puffs,1
Ginger contain was very much Pleasekeep it mild,1
Nothing much in specific as its the same chai point out there Lemon tea and green tea are my cup of choice Havent got a chance to try on the snacks though,0
"restaurant for Medu Dosa  Hot Idlies
Janahaars Specialty is HaalBaai Malnad Style Sweet Amazing Dish it isMust Try 
restaurant is hygienic 
Value for Mlokojay",1
Each and every item is very very testy and cheaper compared to the near by A2B,1
veg spring roll was too much oilycoudnt eat,1
Phulkas were too thick,0
except chicken shawarma nothing is gud,0
Button idly is my choice from the outlet Combination of button idlies dipped in sambar with ghee topping is something which should not be missed,1
not as expected,0
too much spicy,1
food was too bad,0
their fish fry is smaller than our little finger,0
its not kundapur chicken,0
egg fried rice is fyn But chicken is not enough boiled,0
Food taste is not up to the mark,1
bangnda fry not received,1
Food was OK,1
There shd have been some blokoja less pieces also evrythng is broken blokoja leg,0
Real Karnataka Costal Style,1
improve the taste,1
quantity is low,1
Traditional Mangalore style,1
I had food fish meal I felt curry was too much tangy Fish was okay Rice was provided too much in quantity since I felt curry was tangy couldnt finish it,1
tea had become Cold,0
nic,1
osm yr,1
The Brownie was all melted up,1
fastfood taste,1
taste was not appropiate,1
The ice cream was not delivered in thermally insulated bag All the ice cream had melted and was in liquids state,1
Quantity was really less,1
I just dont know what to say We food Chicken Malai Tikka which didnt even have Malai It tasted like boiled chicken Next was chicken lababdar which was disappointing as well Lababdars gravy seemed like tomato puree People need to understand the concept of recipe here,0
Never recieved the order,1
Babhhjjioojffwwooffffttggggggggghuuiiuhuhhuujhhgggfffffhjjjjjjhhhhhhhhhhhhhttt5tvv4tre3eweeewerrpiupfyttttrrrrvhghhhhhhuuuuhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
Picture or the key ingredients should be mentilokojad Pindi Channa Masala is supposed to be made up of chick peas But they gave a gravy with paneer and green peas,0
Food wasnt delivered on time The food container wasnt packed properly and the gravy had spilled out of the box Inspite of these things happening the delivery boy hands over the container to me with a smileWhisperinga little got spilled outWe pay for it,0
Yumm,1
Need some extra chutney,1
not received vade they sent two small Puri,0
order pudi idli  button idli and kesari bath quantity is very less this all three item eaten by lokoja person if you want to order more quantity,1
This is lokoja restaurant I go every Friday,1
Not sure its an off day or the quality has dropped considerably  not going back again This was my usual take away restaurant being close to home but today it was a big disaster,1
My first order of a chicken soup and hakka noodles and probably the last I agree it tasted healthy  no taste of MSG or sub par oil but no taste of any thing else either White noodles boiled chicken and raw vegetables put in a tray and a bowl of water with a hint of soy sauce and some spinach n coriander at the bottom  at a price which is on higher side,0
We food for Egg Masala Omlette Combo Taste is ok but not up to the mark Bread quantity is very less  1 Small Slice of Bread  they have to improve interms of Quantity  Taste,1
Huguvihiihhftgdddfcvhjjjbhfiu,1
popcorn chicken was bit hard make it soft,0
Cold refrigerated food served at 2 am No clue what to say Post midnight the customers are taken for granted maybe Please serve hot food,0
Today the chicken was too cold This is my 3rd order from this restaurant in last 3 days but today the chicken was too hard to chew,0
food veg fried rice chicken tandoori and kadai chickem instead of tandoori chicken we got lolypop All the food were very below average,0
not yet had,1
My order wasnt delivered,1
they didnt deliver kebab,1
I orderd chicken tandoori poor which was sucksthe quantity is like left over food half in the box and it had smell of masala in the poor and that tandoori pc was like boiled no taste at all i would give 0,0
"I orderd a combo meal chicken poor and a pea paratha First thing first Dry Potato and soya chunks in thali were raw Chicken in poor was as hard as a marble Peas were running around from the inside of paratha like ants
My say order or eat at your own risk And a definite no if you have a travel scheduled Every item is a landmine for your tummy",0
online order chicken fried rice they served me without vegetables dear restaurants can i suggest you to rename as chicken rice and look at the parcel condition they having restaurant or roadside fast food service,0
Paneer thali is full with turmeric powder,1
Rice wasnt properly boiled and it wasnt poor rice it was like bullet sized rice,0
price higher quntit very less,1
bit salty it was ok ok,1
The panner roll was cold,0
awsm delivery,1
Spicy and cheap types food,1
not packed properly and not quality,1
not boiled properly,1
to much chilli in muton boti,1
very tastyjust a lil spicy,1
too spicy,1
I had food Mutton Pepper Fry half of the pieces I got blokojas only,0
Had asked for thums up got sprite Had asked for onions didnt get any Food was cold,0
Chapati served was like papad Rest are ok,1
food chicken poor got poor rice,0
god service,1
Not a poor I would crave for I food chicken 65 poor in turn I got poor with two chicken kebabs and a boiled egg in it Taste of poor was also kind of ok,0
"Birinz the Persian word for Rice is a decent restaurant located on the first floor of the BTM Main Road 

We had

Starters
Papdi Chicken
Green Coriander Chicken
Patiala Chicken
Apollo Fish
Chicken Rayalseema Dry
Egg Chilli
Paneer Sholay

Soup
Mutton Shorba
Cream of Mushroom Soup

Main Course
Birinz Special Chicken poor
Reddys Red Hot Chicken poor
Chicken Dum poor
Mutton Fry Piece poor
Mushroom poor
Kulcha
Methi Chaman
Nellore Chicken Masala
Gun Powder Rice

foodnwinein",0
vry gd,1
chicken piece not cooked,0
The food so cold not at all hot Did not like the food as it was cold,0
it was cold,0
I dont know why they add so much of chilly powder to their food which makes it almost inevitable We food liver fry and lokoja chicken curry Taste was ok but the spice level was actually 11 out of 10 I could hardly eat the chicken curry,0
not gud,1
the food was cold,0
no proper smell is cming,1
I am in love with this restaurant Flamed chicken that we get in half quarter and Full has a tangy flavour Their Chicken Cream Soup is addictive Grilled Chicken Liver fry is Must try dish in this restaurant,0
"Attracted towards their cuisine  African

Items tried 
1 Flame grilled chicken with their different peri peri flavours 
2 Peri Peri chicken burger 
3 Chicken salad 
4 Chick  e  naise",0
too bad rice,0
Briyani Too spicy,1
food quantity is less,1
Not up to mark Raita full of green chillies,1
chenagide,1
too bad,0
avreage,1
f,1
Didnt receive the order,1
Avarage briyani,1
Less vegetables in curry,1
food was okayish,1
i have ordere from your restuarant several times but today the food which i got is not even the half of the quantity which i use to receive every time,0
I havent recieved my order,1
food was very poor not even cooked properly,0
starter quantity was very less,1
bhh,1
food was cold at the time of delivery,0
Chiken ws only 1ps,1
pls make the palak khichdi a bit lesser spicy,1
food for fried chicken momo but received steamed chicken momo,0
quantity delivered was very less,1
salty,1
"Value for mlokojay I guess But was expecting sandwich breadwhereas we got normal bread
So bottom line portion size is small So order more if u are hungry",0
too much salt,1
average food,0
food quantity is less for single person,0
Bahat acha khana  Quality bahut acha Quantity v acha Main first time itna acha tandoori chicken khaya Mera dost logo ko v bahot pasand aya,0
There were vegetables in the maggi inspite of saying no vegetables in the specificationsmvery dissapointing,1
Delivered only lokoja coke,1
food was not cooked properly could not eat at all,1
food veg poor but it looked to be veg Paulo not spicy at all,0
taste less,1
Delivered fast,1
gulab jamun is cold,0
i have got chicken poor instead of paneer poor,0
delay,1
smoke smell came,1
food egg roll Too much onion stuffed,1
change the item,1
we had food poisoning from the food,1
food quality day by day its decreasing,1
"Magix is Small joint specially for Kati rolls and chinese dishes I tried their
Jumbo Roll

They have taken the meaning of Jumbo too literally
The roll was huge in size So kinda hard to finish in lokoja shot if you are not hungry Taste was ok and as ingredients it had chicken Panner and vegies inside
Bit famous for Kati rolls",1
Very very less quantity Less than half plate rice and only lokoja piece paneer in curry lessQuantity badService notPreferred dinnerFood,0
Too much of masala Thumbs down Bad Taste,0
food is not hot and quantity is very very less,1
less quantity but ok,1
Quantity should be little more,0
only spicy and Chicken was not that grilled,0
food was taste lesschicken was half cooked and also rice was half cooked,0
No gravy provided along with chicken poor,0
good food and rice,1
Need to improve on maintaining the balance of flavor in poor For example  Onion was over fried salt was slightly more Need to maintain the balance on ingredients used to prepare poor,0
No hot,1
poor taste is different Its not ambur style Order delivered very fastly More oily food Hope next time it will be AMBUR style,0
chicken pieses were too small,0
food was too cold man why is it so,0
Very less quantity 100 Rs for 3 small piece chicken Overly priced restaurant I must say Also the chicken was not completely cooked Taste wise its ok but quantity is too less,0
booti quantity very less,1
quantity less,1
Food was not provided as per the Menu I have got only kushka  egg curry,1
Boti fry was half in the quantity and even kebab there is no phlokoja support,0
as order items are missedworst service,1
High prices for less quantity of food,1
But my quantity was pretty less,1
didnt like the taste and quality,1
Estimated delivery time has lapsed,1
I did not receive my order,1
very small,0
i put extra cheese as an option but didnt get extra cheese,1
Dint rcv,1
I never see this type of restaurant,1
not as per menu,1
not deliver3d,1
Never order here,1
six inches not 9,1
Not even recieved the order,1
food was of little quantity could be more,0
small amount,0
before ETa,1
Cant depend didnt recieve the order please refund,1
restaurantd an order at 130 am was given a wait till till 330 am to start with At 345am I was still waiting for the order At 410 am the order was canceled from the restaurant Do I need to say any more than that I wish I could score your service any lower than a 1,1
The food was not that spicy as i had said and the stuffing was less,1
It was soo spicy,1
food never came,1
Food quantity very less,1
food was cold,0
delivery,1
dint receive order,1
quality not upto mark,1
I have food chicken rollbut there was no chicken pieces in a rolltotally wasteless quantity Instead of ordering online we can have in out side,0
Total value for mlokojay food LIITs Tequila shots Hefe beer Santra Tantra  Boozy Sailors for drinks Roasted chilli pork corn salt  pepper and spicy french fries for food definitely going back,1
dint recieve the order,1
didnt delivered,1
Visited this restaurant many times and had mixed experiences With veg meal you will get rice dal two types of vegetables alu bhaja and chatni and they changes the vegetables on daily basis Since its a Bengali cuisine you will get different types of fish items but the fish quality is average Chicken and mutton dishes are okayish In the dessert mostly you will get misti doi rosogolla and gulab jamun,1
order was cancelled,1
Ive got message from Dominos saying order cancelled after 30 mins and order delivered after 1 hour,1
Delivery on time Fresh Food,1
Timely delivered,1
worth less they couldnt provide service,1
spicy,1
the food was not delivered,1
little bit expensive when compared to all other,0
Didnt get the order and no confirmation,1
Margaret was not backed properly,1
Itz more than 45 minutes And usually said 30 minutes,0
Food is just average,0
they served non veg fried momos instead of veg,1
What service is this,1
food veg Got non veg,1
Too much oil in food,1
salt is more,1
a bit more pieces of seafood please,1
quantity was not provided as mentilokojad,1
There was no salt in rice and the given same item for chilly chicken and chicken drums,0
Had asked for pomegranate milk shake but got masala dosa,1
found some stlokojas in the food,1
"kulcha is not given
2packet is roti",1
"Special Basmati Rice poor
Moradabadi and Hydrabadi styles
Chicken korma
Chicken kali Mirch
Butter chicken
Ckicken changezi
Chicken kabab
Rumali Roti",0
Less price more food,1
only ok very spicy,1
dont buy chicken pakoda,0
tooo spicy,1
Food Quality and Taste was not as expected,0
its not hot,1
quantity is too low,1
small and dry pieces,0
small pieces over dried salty,0
not expected,0
very nicee,1
exce,1
chicken feather in the food,0
not testy food compare to arekere five star chicken,0
Hot  smoke chicken piece was not fried properly It was all raw from inside,0
given 250 ml juice instead of 750 ml,1
food deliver in time,1
Off taste was getting burnt taste and order had too much salt,1
gsjjsanabsb,1
food a poor combo Salad and coke was missing Fried rice was very spicy and less of salt,0
only rice,1
chapati not cooked properly and serve cold,0
Dal fry is half boxed,0
Food taste was average and it was very cold Looked like some left over food of morning breakfast was being served in the evening My first and last experience with them,0
low salt,1
The chole was less,1
Food delivered with swiggy tape,1
There is no better restaurant in the entire area for fish and coastal cuisines Gassi Pulimunchi Masala fry Tawa fry everything is cooked to perfection and the taste just lingers Amazing is the only word Must try chickenfish meals kori roti ganji chutney neer dosa fish tawamasala fries prawns ghee roast chicken pepper dry fry fish gassi and fish pulimunchi kokum sarbath Very fast service,1
not given as per suggetion,1
I had asked for chicken fried rice but they gave me egg fried rice,0
Food was okay,1
rice quantity in combo is vry less,1
ok food,1
nicequick delivered,1
delivered but theyve given 250ml sprite but we r food for 300ml check it now,1
food puliyogare for 40rs The quantity and taste is ok for the low price Food was delivered hot,1
too much of masalas and garlic,1
less sabzi,1
sabzi was less compared to previous orders,0
Bakwas upma,1
Very Much happythanks to u n keep da same standard,1
food doesnt taste,1
food was very spicy inspite of the instruction to not add chillies,1
they sent me a burger instead of a sandwich,1
chicken contains lot of oil,0
Food delivery was fast,1
poor is not up to the mark below average taste,0
there was very less salt on poor,0
i have not received the order,1
fast,1
except the strawberry kulfi most other flavors are ordinary doesnt come close to bowring kulfi,0
supper,1
Feels like chawpaty kulfi of North Wow,1
rate is too high and quantity is less of food,1
do not give butter milk in plastic cover,1
poor was not fresh seemed like yesterday nights,0
superman fastest delivery,1
very raw,0
Use less black pepper,0
Order chicken biryaani got paneer biryaani,0
I had food for lokoja Veg and other non Veg Food item But got both Nonveg and in non veg it was completely cabbage filled in it with minimal chicken chunks,0
food is so,1
Burger bun was hard,0
Food Quality was OK poor was not meeting expectation,1
Food was very worst never ever choose this hotel,0
food full chicken dum poor recieved half d bir,0
gulab jamoon was delivered instead of Bombay halwa,1
very salty couldnt eat,1
spilled shake,1
chicken was smelling a bit,0
In double chicken egg roll egg was not there,0
very fast delivery,1
not cooked properly,1
Gulab jamun was of 5 CM diameter samosa was cold,0
before the time,1
D vada pav was not even lukewarm,1
french fries were not at all crispy,1
no salt in the food noodles,1
I had food red sauce pasta and I received white sauce pasta,1
very expensive less quantity,0
superbbbb,1
The quantity is bit less,1
delivery has not comeI dont no,1
salt less  pathetic poor with no proper masala and low quality rice,0
not gud taste quantity less quality not gud,1
Quantity,1
very oily food,1
food is OK,1
lokoja of the worest experience till now  food roti and veg curries  Food has come with out plates  We asked them for plates then a guy came and serving food in a slow motion  Finally he served roti and curry which was just ok  Then food poor which we felt worest its not at all hot and we got poor with out raita and salan  Again we only asked them  Really they should concentrate how their employees working,0
The bread was only toasted and my grilled  Whereas I food for a grilled chicken sandwich,0
Salt was little less in all the curries,0
food for chicken kosha got thin chicken curry instead,0
Firstly v food the food home n v literally waited for 2 hours for the food to be delivered when the food arrived the quantity was really less and the food was too salty that we had to bin the food never order from here,1
I food chicken manchurian they charged 130 rs and gave in small box with 5 small chicken piece and more of those chilly and onion I will never order from here again,0
its k,1
order was not delivered,1
"what they cooked without spicy cant even eat wht I order
plz dont order aloo sandwich at least from here",0
there was not even lokoja egg insideonly tomatoes,1
amazinggggggggggg,1
both butter naan n butter kulcha arrived without butter Rogan Josh ok ok ish,1
Too much of oil,1
Quality food in less price,1
butter chicken had too much onion ginger masala n less chicken,0
Chicken liver was raw,0
food Butter Chicken and Naan Chicken was not cooked properly and very chewy Gravy was bit okay Naan was also very chewy and within seconds become cold,0
Chicken is very very very very very very very very very very chewy Roti is very very very very very very hard to chew Plz plz plz plz plz plz plz plz stay away,0
I was quite hapy with the order i made frm cakeomaniathe cake was amazg nd Looked vry cuteThanks to Japlathe red velvet cream jar is awsmi would recommnd dat evrylokoja should giv a try,1
Every Chicken gravey tastes the same or no taste at all The owner is from kerela still the kerela parotha here is below average The dry items including Shawarma roll are just ok,0
food quality is averagenot recmonded,1
Early delivery,1
Sent me half Quantity,0
I ask extra mayonaise but they didnt give,1
in butter chicken der z no salt at all and grill chicken was no taste at all,0
Taste of poor rice was less when compared to my last order,0
i food wings fry but received blokojaless chilly chicken,0
owsome,1
Hemanth reddyK,1
not spicy,1
chicken was not grilled it was raw,0
Coca Cola bottle was not given,1
juice was not delivered,1
Its mentilokojad 300ml coke which was not sent with the food parcel,1
cook is not delivery in combo and i want refund or i want that product,1
they have not included coke in combo,1
they not provide items mentilokojad the combo,1
food was too tastyyy,1
poor rice should be like poor,0
very small roll sizebut price is high,0
such a warst food I had ever ate,1
order is accepted even though through there is no product and they changed the food item by making phlokoja too bad,0
a good food,1
less quantity n less taste,1
no flavour almost vomited,1
every time its happening,1
Piece of the kebab was quite tiny lokoja,1
full order not received,1
who puts egg bhurji in egg rolls,1
salt is more in the food,1
Had asked not to send  bring onions gravy and chutneys,1
Very average food,0
Food has not been delivered yet  What is this,1
The egg roll doesnt even have egg in it,1
